127.0.0.1 - - [22/Apr/2016:00:01:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:23 +0530] "GET /ManageUser/ HTTP/1.1" 200 8826
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:23 +0530] "GET /ManageUser/faces/javax.faces.resource/layout/layout.css;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=primefaces&v=5.2 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:24 +0530] "GET /ManageUser/faces/javax.faces.resource/jquery/jquery.js;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:24 +0530] "GET /ManageUser/faces/javax.faces.resource/primefaces.css;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=primefaces&v=5.2 HTTP/1.1" 200 63514
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:24 +0530] "GET /ManageUser/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:24 +0530] "GET /ManageUser/faces/javax.faces.resource/layout/layout.js;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=primefaces&v=5.2 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:24 +0530] "GET /ManageUser/faces/javax.faces.resource/md5.js;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=js HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:24 +0530] "GET /ManageUser/faces/javax.faces.resource/primefaces.js;jsessionid=3977FA79DB6258F27928EF05647BA341?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:29 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-icons_2694e8_256x240.png?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:01:29 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_glass_100_e4f1fb_1x400.png?ln=primefaces-cupertino HTTP/1.1" 200 119
